iter	Passed	Remaining
306	531	1200
307	532	1196
308	534	1194
309	535	1191
310	538	1192
311	539	1188
312	539	1184
313	540	1180
314	541	1176
315	541	1172
316	542	1169
317	543	1165
318	544	1161
319	548	1166
320	549	1162
321	552	1163
322	553	1159
323	555	1159
324	556	1156
325	558	1153
326	559	1150
327	559	1147
328	560	1143
329	563	1144
330	564	1140
331	567	1141
332	568	1138
333	568	1134
334	569	1130
335	570	1126
336	573	1128
337	574	1124
338	575	1122
339	576	1118
340	578	1117
341	578	1113
342	579	1110
343	582	1110
344	583	1107
345	585	1106
346	585	1102
347	588	1102
348	590	1100
349	590	1097
350	591	1094
351	592	1090
352	595	1092
353	596	1088
354	597	1085
355	597	1081
356	601	1084
357	602	1080
358	605	1080
359	606	1077
360	606	1073
361	608	1072
362	608	1068
363	609	1065
364	613	1066
365	614	1063
366	617	1065
367	618	1062
368	618	1058
369	620	1056
370	621	1052
371	621	1049
372	622	1045
373	623	1043
374	624	1040
375	624	1036
376	626	1035
377	627	1032
378	628	1029
379	630	1028
380	631	1025
381	632	1022
382	632	1019
383	636	1020
384	637	1017
385	639	1017
386	640	1014
387	641	1011
388	642	1008
389	645	1009
390	646	1006
391	648	1005
392	649	1002
393	649	999
394	650	996
395	651	993
396	651	989
397	654	990
398	655	987
399	658	987
400	658	984
401	664	988
402	665	985
403	666	982
404	666	979
405	671	981
406	671	978
407	672	975
408	673	972
409	676	973
410	677	970
411	680	970
412	680	967
413	681	964
414	682	961
415	692	971
416	693	969
417	693	966
418	697	967
419	698	964
420	699	961
421	699	958
422	700	955
423	701	952
424	701	949
425	704	949
426	705	946
427	708	946
428	709	944
429	709	941
430	710	938
431	713	938
432	714	935
433	717	935
434	717	932
435	721	933
436	726	935
437	727	933
438	732	936
439	733	933
440	740	939
441	741	936
442	749	942
443	750	939
444	751	937
445	752	934
446	760	940
447	761	937
448	764	937
449	764	934
450	766	933
451	767	930
452	770	930
453	771	927
454	774	927
455	775	924
456	778	924
457	778	921
458	782	922
459	783	919
460	784	916
461	785	914
462	785	911
463	786	908
464	787	905
465	788	903
466	789	900
467	790	898
468	793	898
469	793	895
470	796	894
471	797	892
472	800	892
473	801	889
474	805	890
475	806	887
476	810	889
477	811	886
478	812	883
479	815	883
480	815	880
481	819	881
482	820	878
483	824	878
484	825	876
485	826	873
486	826	870
487	827	868
488	832	869
489	832	866
490	833	864
491	836	863
492	837	860
493	840	860
494	840	857
495	841	855
496	842	852
497	843	849
498	845	849
499	846	846
500	848	844
501	849	843
502	854	844
503	855	841
504	858	841
505	859	838
506	860	836
507	861	834
508	869	839
509	870	836
510	871	834
511	874	833
512	875	831
513	880	832
514	880	829
515	886	831
516	886	828
517	887	825
518	888	823
519	891	823
520	892	820
521	893	817
522	894	815
523	898	815
524	898	813
525	899	810
526	900	807
527	903	807
528	903	804
529	905	802
530	905	800
531	906	797
532	907	795
533	914	797
534	915	795
535	915	792
536	916	790
537	917	787
538	918	785
539	919	783
540	920	780
541	921	778
542	921	775
543	922	773
544	926	773
545	927	771
546	930	770
547	931	768
548	932	765
549	932	763
550	934	761
551	935	758
552	935	756
553	937	754
554	938	752
555	941	751
556	942	749
557	946	749
558	946	746
559	947	744
560	951	744
561	951	741
562	953	740
563	954	738
564	955	735
565	956	733
566	957	730
567	958	728
568	958	726
569	960	724
570	962	722
571	962	720
572	963	718
573	964	715
574	964	713
575	965	710
576	966	708
577	966	705
578	967	703
579	968	701
580	969	699
581	970	696
582	970	694
583	971	691
584	972	689
585	972	687
586	975	686
587	976	684
588	977	681
589	977	679
590	978	677
591	981	676
592	981	673
593	982	671
594	983	669
595	986	668
596	986	666
597	987	663
598	989	662
599	989	659
600	993	659
601	993	657
602	997	656
603	998	654
604	999	652
605	999	650
606	1000	647
607	1002	646
608	1002	643
609	1003	641
610	1004	639
611	1004	637
612	1005	634
613	1006	632
614	1007	630
615	1007	628
616	1008	625
617	1008	623
618	1009	621
619	1010	619
620	1010	616
621	1011	614
622	1012	612
623	1012	610
624	1013	607
625	1014	606
626	1014	603
627	1015	601
628	1017	600
629	1018	598
630	1019	595
631	1019	593
632	1020	591
633	1020	589
634	1021	587
635	1022	584
636	1022	582
637	1023	580
638	1023	578
639	1024	576
640	1025	574
641	1025	572
642	1027	570
643	1028	568
644	1028	566
645	1029	564
646	1031	562
647	1034	562
648	1035	560
649	1036	557
650	1036	555
651	1037	553
652	1038	551
653	1039	549
654	1041	548
655	1043	547
656	1045	545
657	1047	544
658	1048	542
659	1050	541
660	1050	538
661	1051	536
662	1052	534
663	1052	532
664	1053	530
665	1054	528
666	1054	526
667	1057	525
668	1059	524
669	1064	524
670	1065	522
671	1065	520
672	1066	518
673	1067	516
674	1068	514
675	1070	512
676	1070	510
677	1075	510
678	1075	508
679	1076	506
680	1077	504
681	1077	502
682	1078	500
683	1079	498
684	1079	496
685	1080	494
686	1081	492
687	1082	491
688	1083	489
689	1084	487
690	1086	486
691	1087	484
692	1088	482
693	1089	480
694	1089	478
695	1090	476
696	1091	474
697	1092	472
698	1092	470
699	1094	469
700	1095	467
701	1096	465
702	1097	463
703	1098	461
704	1098	459
705	1100	458
706	1101	456
707	1101	454
708	1102	452
709	1103	450
710	1104	448
711	1105	447
712	1106	445
713	1106	443
714	1107	441
715	1108	439
716	1109	437
717	1113	437
718	1114	435
719	1114	433
720	1115	431
721	1116	429
722	1117	428
723	1118	426
724	1118	424
725	1119	422
726	1120	420
727	1120	418
728	1121	416
729	1122	415
730	1125	414
731	1126	412
732	1127	410
733	1127	408
734	1128	406
735	1132	406
736	1132	404
737	1133	402
738	1135	400
739	1136	399
740	1136	397
741	1138	395
742	1139	394
743	1140	392
744	1140	390
745	1141	388
746	1142	386
747	1143	385
748	1144	383
749	1145	381
750	1145	379
751	1146	378
752	1147	376
753	1148	374
754	1149	373
755	1150	371
756	1151	369
757	1152	367
758	1152	366
759	1153	364
760	1154	362
761	1155	360
762	1155	358
763	1156	357
764	1156	355
765	1157	353
766	1158	352
767	1159	350
768	1163	349
769	1163	347
770	1165	346
771	1165	344
772	1166	342
773	1167	341
774	1168	339
775	1169	337
776	1172	336
777	1173	334
778	1173	332
779	1174	331
780	1176	329
781	1177	328
782	1178	326
783	1178	324
784	1179	323
785	1180	321
786	1181	319
787	1181	317
788	1182	316
789	1182	314
790	1184	312
791	1185	311
792	1188	310
793	1189	308
794	1192	307
795	1194	306
796	1194	304
797	1195	302
798	1196	300
799	1197	299
800	1198	297
801	1199	296
802	1200	294
803	1202	293
804	1206	292
805	1207	290
806	1208	289
807	1209	287
808	1210	285
809	1211	284
810	1212	282
811	1215	281
812	1215	279
813	1222	279
814	1223	277
815	1224	276
816	1225	274
817	1226	272
818	1227	271
819	1228	269
820	1229	267
821	1229	266
822	1230	264
823	1231	262
824	1232	261
825	1233	259
826	1234	258
827	1235	256
828	1235	254
829	1238	253
830	1239	252
831	1241	250
832	1242	249
833	1245	247
834	1246	246
835	1247	244
836	1247	243
837	1250	241
838	1251	240
839	1251	238
840	1256	237
841	1257	235
842	1258	234
843	1259	232
844	1262	231
845	1263	229
846	1263	228
847	1267	227
848	1268	225
849	1271	224
850	1272	222
851	1273	221
852	1274	219
853	1275	218
854	1276	216
855	1276	214
856	1278	213
857	1278	211
858	1279	210
859	1280	208
860	1280	206
861	1281	205
862	1283	203
863	1283	202
864	1284	200
865	1284	198
866	1286	197
867	1286	195
868	1287	194
869	1288	192
870	1289	191
871	1290	189
872	1290	187
873	1291	186
874	1294	184
875	1295	183
876	1295	181
877	1297	180
878	1298	178
879	1299	177
880	1299	175
881	1301	174
882	1301	172
883	1304	171
884	1305	169
885	1307	168
886	1310	166
887	1311	165
888	1313	164
889	1314	162
890	1316	161
891	1316	159
892	1317	157
893	1317	156
894	1318	154
895	1319	153
896	1320	151
897	1322	150
898	1322	148
899	1325	147
900	1328	145
901	1329	144
902	1331	143
903	1332	141
904	1335	140
905	1335	138
906	1336	137
907	1338	135
908	1339	134
909	1339	132
910	1342	131
911	1343	129
912	1344	128
913	1345	126
914	1345	125
915	1346	123
916	1350	122
917	1352	120
918	1353	119
919	1353	117
920	1354	116
921	1357	114
922	1357	113
923	1358	111
924	1359	110
925	1360	108
926	1361	107
927	1361	105
928	1362	104
929	1363	102
930	1366	101
931	1367	99
932	1369	98
933	1370	96
934	1371	95
935	1371	93
936	1373	92
937	1373	90
938	1374	89
939	1375	87
940	1376	86
941	1376	84
942	1377	83
943	1380	81
944	1381	80
945	1386	79
946	1387	77
947	1389	76
948	1390	74
949	1390	73
950	1391	71
951	1392	70
952	1394	68
953	1395	67
954	1396	65
955	1397	64
956	1398	62
957	1398	61
958	1399	59
959	1400	58
960	1400	56
961	1403	55
962	1404	53
963	1405	52
964	1407	51
965	1408	49
966	1409	48
967	1410	46
968	1411	45
969	1412	43
970	1412	42
971	1413	40
972	1414	39
973	1415	37
974	1416	36
975	1416	34
976	1419	33
977	1420	31
978	1421	30
979	1422	29
980	1423	27
981	1424	26
982	1424	24
983	1426	23
984	1427	21
985	1428	20
986	1431	18
987	1433	17
988	1434	15
989	1435	14
990	1435	13
991	1437	11
992	1437	10
993	1438	8
994	1440	7
995	1440	5
996	1442	4
997	1442	2
998	1443	1
999	1445	0
