iter	RMSE
473	0.893037335
474	0.8899025546
475	0.887679228
476	0.8854801273
477	0.8833049624
478	0.8800322884
479	0.8778738896
480	0.8746348009
481	0.8724929443
482	0.8703742128
483	0.8671615406
484	0.8649502207
485	0.8617687523
486	0.8596774865
487	0.8565286008
488	0.8544531444
489	0.8513364877
490	0.8491575606
491	0.8460711402
492	0.8440224111
493	0.8419955653
494	0.8389342092
495	0.8367952243
496	0.8316126027
497	0.8285988677
498	0.8264800028
499	0.8234954735
500	0.8215086038
501	0.8191734344
502	0.8172042918
503	0.8152560374
504	0.8129433481
505	0.8110123625
506	0.8091017965
507	0.8068112416
508	0.8049175041
509	0.803043734
510	0.8007749781
511	0.7989176134
512	0.7970797791
513	0.7948324964
514	0.7930106606
515	0.7912079328
516	0.7891767693
517	0.787389615
518	0.7851754099
519	0.7834036678
520	0.781650421
521	0.7796472287
522	0.7779089776
523	0.7761888304
524	0.7740038988
525	0.7722984326
526	0.7706106943
527	0.768631735
528	0.7669582722
529	0.7649981361
530	0.7633387769
531	0.761696598
532	0.7598107949
533	0.7576635187
534	0.7560491906
535	0.7541947088
536	0.7522489618
537	0.7506619458
538	0.749091384
539	0.7471609014
540	0.7453411731
541	0.7439086209
542	0.7418062534
543	0.7401867747
544	0.7381055389
545	0.7364993354
546	0.734979433
547	0.7334063667
548	0.7315132468
549	0.7300213965
550	0.7281461154
551	0.7265983995
552	0.7250675387
553	0.7230164173
554	0.7215640601
555	0.7200604493
556	0.7182062639
557	0.7167155343
558	0.7146917127
559	0.7132989622
560	0.7118185523
561	0.709819087
562	0.7083505329
563	0.7068978933
564	0.7050846599
565	0.7037059123
566	0.7017330058
567	0.7003025762
568	0.6989329692
569	0.6975163377
570	0.6957333638
571	0.6943286724
572	0.6923846775
573	0.6910509563
574	0.6896708788
575	0.687911264
576	0.6865427736
577	0.684624625
578	0.6833253843
579	0.6819792135
580	0.6806345049
581	0.6787370705
582	0.6774002627
583	0.6760777483
584	0.6743535447
585	0.6730988276
586	0.6712277902
587	0.6699253931
588	0.6686369206
589	0.6669351201
590	0.6657125282
591	0.6644468414
592	0.6627576639
593	0.6614420912
594	0.660184994
595	0.6583498522
596	0.6571029496
597	0.6559218902
598	0.6541028875
599	0.6528779596
600	0.6515781161
601	0.6499316076
602	0.6487149006
603	0.6469272899
604	0.6457203831
605	0.6445766476
606	0.6433940725
607	0.6418349739
608	0.6402114005
609	0.6386745083
610	0.6371550126
611	0.6356526864
612	0.6344676012
613	0.6329792406
614	0.6312440492
615	0.630065496
616	0.6285968846
617	0.6271447824
618	0.6255705217
619	0.6241387368
620	0.6227229813
621	0.6215421371
622	0.6201393111
623	0.618752133
624	0.6170775649
625	0.6159004102
626	0.6145313097
627	0.6133637072
628	0.6120070186
629	0.610356958
630	0.609195862
631	0.607856759
632	0.6065325264
633	0.6053780788
634	0.6040657727
635	0.6025505981
636	0.6012562524
637	0.5999762063
638	0.5987102853
639	0.5975540773
640	0.5962994206
641	0.5947068623
642	0.5935572039
643	0.5923185393
644	0.5911782536
645	0.5899505878
646	0.588474051
647	0.5872629625
648	0.5860651568
649	0.5849260672
650	0.5837388148
651	0.5819767555
652	0.580849031
653	0.5792983228
654	0.5781796109
655	0.5770123048
656	0.575902772
657	0.5736172526
658	0.5718904473
659	0.5707904405
660	0.5696052417
661	0.5685141961
662	0.5668116812
663	0.565734008
664	0.5646676359
665	0.5635236574
666	0.5615057116
667	0.5603726525
668	0.5587105145
669	0.5575970525
670	0.5565411983
671	0.5554375597
672	0.5532144584
673	0.5521633803
674	0.550539733
675	0.5495015803
676	0.5475345886
677	0.5459338167
678	0.5448566853
679	0.543861857
680	0.5427941535
681	0.5406122481
682	0.5395925697
683	0.538029563
684	0.5370505014
685	0.536081236
686	0.5350316144
687	0.5340414169
688	0.5328986832
689	0.5313672594
690	0.5303869194
691	0.5294443165
692	0.5284070256
693	0.5274441769
694	0.5264160869
695	0.5242676666
696	0.5233355465
697	0.5218443908
698	0.5208968414
699	0.5199854648
700	0.5189749393
701	0.5180443575
702	0.5165823458
703	0.5156891882
704	0.5145565112
705	0.5136440979
706	0.512645559
707	0.5117662363
708	0.5107765498
709	0.5098785298
710	0.5084541178
711	0.5075924461
712	0.5054711211
713	0.5045894257
714	0.5036168927
715	0.5027668863
716	0.5013722455
717	0.5005080869
718	0.4986895408
719	0.4977285067
720	0.4967779838
721	0.4954151636
722	0.4945851636
723	0.4937635887
724	0.4924190465
725	0.4915836678
726	0.4903693451
727	0.489565507
728	0.4886289002
729	0.487702533
730	0.4868797151
731	0.4855630036
732	0.4847735868
733	0.4839922178
734	0.4830753119
735	0.4813046023
736	0.4800119026
737	0.4787321043
738	0.4779400363
739	0.477178876
740	0.475916682
741	0.4751422734
742	0.4743983147
743	0.4731870751
744	0.4722866693
745	0.4715478919
746	0.4706555951
747	0.4694185531
748	0.4686647891
749	0.4679410578
750	0.4667202562
751	0.4659833812
752	0.4652760771
753	0.4640681932
754	0.4631890876
755	0.462486722
756	0.46161558
757	0.4607539427
758	0.4600338961
759	0.4588439924
760	0.4581544192
761	0.4569549911
762	0.4561038563
763	0.4554191261
764	0.4545756964
765	0.4538964665
766	0.4530606735
767	0.4523654089
768	0.4512082653
769	0.4505430443
770	0.4498635014
771	0.4490366598
772	0.447844015
773	0.4470260932
774	0.4463708239
775	0.4452380038
776	0.4445911547
777	0.4439300255
778	0.4431208688
779	0.4423204968
780	0.441684029
781	0.4404988137
782	0.4397056121
783	0.4386007084
784	0.437970393
785	0.4372896831
786	0.436671558
787	0.4358869982
788	0.4347087798
789	0.4339326036
790	0.4333175221
791	0.4325484036
792	0.4319383641
793	0.4308659667
794	0.4299915763
795	0.4287874505
796	0.4274754463
797	0.4262912707
798	0.4256352073
799	0.4244280196
800	0.4233698123
801	0.4221997787
802	0.4210414863
803	0.4199887846
804	0.4193739776
805	0.418223508
806	0.417045961
807	0.4160022595
808	0.4148667502
809	0.4142573621
810	0.4132234216
811	0.4120955876
812	0.4114934947
813	0.4104692033
814	0.4093489905
815	0.4081980838
816	0.4070955363
817	0.4060757501
818	0.4054800447
819	0.404472801
820	0.4038847574
821	0.4027860538
822	0.4016556173
823	0.4006568614
824	0.3995724711
825	0.398989574
826	0.3980000653
827	0.3969230208
828	0.396056071
829	0.394244772
830	0.3936918501
831	0.3926353998
832	0.3908510746
833	0.3898715747
834	0.3890237757
835	0.387261038
836	0.38671492
837	0.3861744943
838	0.3844273013
839	0.3834646349
840	0.3829286674
841	0.3823982949
842	0.3814487905
843	0.3806337521
844	0.3789042432
845	0.3783831641
846	0.3778675402
847	0.3761532957
848	0.3753589765
849	0.3736640821
850	0.3731540647
851	0.3722226706
852	0.3717191467
853	0.3700402287
854	0.3695397454
855	0.3686218796
856	0.3678536113
857	0.3673641183
858	0.3657009423
859	0.3652144131
860	0.3643091296
861	0.3638288069
862	0.3630854976
863	0.361437694
864	0.359808757
865	0.3593336785
866	0.3584429793
867	0.3579739673
868	0.3572501701
869	0.3556362848
870	0.3551744842
871	0.354296642
872	0.3538407501
873	0.3526528067
874	0.3522006612
875	0.3515010079
876	0.3510578396
877	0.350191735
878	0.3497542615
879	0.3485749369
880	0.3481410625
881	0.3474649852
882	0.3470397542
883	0.3461851051
884	0.3451015712
885	0.3442548307
886	0.3431969754
887	0.3425374672
888	0.3414928424
889	0.341075826
890	0.3402279189
891	0.3391902548
892	0.3387966756
893	0.3384071884
894	0.3373786926
895	0.3365370566
896	0.336152353
897	0.3357716527
898	0.335394916
899	0.3338424062
900	0.3334679678
901	0.3330974298
902	0.3315592646
903	0.3311909882
904	0.330183264
905	0.3293573646
906	0.3289936031
907	0.3286336348
908	0.3274443754
909	0.326628397
910	0.326271936
911	0.3259191956
912	0.324738937
913	0.3239326759
914	0.3235833562
915	0.3232376861
916	0.3220663246
917	0.3212689527
918	0.3209266192
919	0.3205878658
920	0.3194250876
921	0.3190886284
922	0.3183009045
923	0.3179689179
924	0.3168148578
925	0.3164851165
926	0.3157054687
927	0.3153622959
928	0.3145911633
929	0.314040692
930	0.3130689557
931	0.3121065171
932	0.3113387967
933	0.3103831588
934	0.3100236093
935	0.3092620911
936	0.3089072657
937	0.3077834246
938	0.3070293748
939	0.3060852232
940	0.305733666
941	0.3049856824
942	0.3040477686
943	0.3033053284
944	0.3029584288
945	0.3018570908
946	0.3011213178
947	0.3006091571
948	0.2996864222
949	0.298955609
950	0.2980393577
951	0.2976991727
952	0.2969741924
953	0.2960639689
954	0.2955820459
955	0.2946794695
956	0.2935696258
957	0.2926825804
958	0.2922055859
959	0.291114952
960	0.2902422314
961	0.2891983707
962	0.2884742538
963	0.2881429987
964	0.2874268781
965	0.2870999469
966	0.2857407178
967	0.2854161965
968	0.284709622
969	0.2833654185
970	0.2830436952
971	0.2819626468
972	0.2812661662
973	0.280195998
974	0.2798759025
975	0.2788659844
976	0.2781773693
977	0.2774959717
978	0.2771795389
979	0.2765056652
980	0.2760468481
981	0.2751527361
982	0.2744852833
983	0.2741755833
984	0.2733361006
985	0.2726739117
986	0.2722329436
987	0.2712417745
988	0.2704141589
989	0.269594386
990	0.2686090074
991	0.2679496563
992	0.2675124429
993	0.2667039018
994	0.2662713643
995	0.2652515244
996	0.2642409116
997	0.2632815313
998	0.2620522349
999	0.2617496368
